Date,Gold,Silver,DXY,US10Y,TIPS,SP500,VIX,Miners,Oil
2018-01-05,1320.300048828125,17.204999923706055,91.9499969482422,2.4760000705718994,88.76002502441406,2743.14990234375,9.220000267028809,21.700708389282227,61.43999862670898
2018-01-12,1333.4000244140625,17.069000244140625,90.97000122070312,2.552000045776367,88.33928680419922,2786.239990234375,10.15999984741211,22.01241874694824,64.30000305175781
2018-01-19,1331.9000244140625,16.975000381469727,90.56999969482422,2.63700008392334,88.19902038574219,2810.300048828125,11.270000457763672,21.682371139526367,63.369998931884766
2018-01-26,1351.5999755859375,17.381999969482422,89.06999969482422,2.6619999408721924,88.33150482177734,2872.8701171875,11.079999923706056,22.324132919311523,66.13999938964844
2018-02-02,1333.699951171875,16.676000595092773,89.19999694824219,2.8540000915527344,87.5686264038086,2762.1298828125,17.309999465942383,21.00393486022949,65.44999694824219
2018-02-09,1313.0999755859375,16.115999221801758,90.44000244140624,2.8289999961853027,86.89064025878906,2619.550048828125,29.059999465942383,19.87626838684082,59.20000076293945
2018-02-16,1353.199951171875,16.69499969482422,89.0999984741211,2.877000093460083,87.12444305419922,2732.219970703125,19.459999084472656,20.637216567993164,61.68000030517578
2018-02-23,1328.199951171875,16.47599983215332,89.87999725341797,2.871000051498413,87.20234680175781,2747.300048828125,16.489999771118164,20.14214324951172,63.54999923706055
2018-03-02,1321.0999755859375,16.392000198364258,89.94000244140625,2.8570001125335693,87.41275024414062,2691.25,19.59000015258789,19.702077865600582,61.25
2018-03-09,1322.4000244140625,16.54599952697754,90.08999633789062,2.8940000534057617,87.28810119628906,2786.570068359375,14.640000343322754,19.77542304992676,62.040000915527344
2018-03-16,1311.300048828125,16.20199966430664,90.2300033569336,2.8480000495910645,87.42835998535156,2752.010009765625,15.800000190734863,19.647071838378903,62.34000015258789
2018-03-23,1349.300048828125,16.530000686645508,89.44000244140625,2.8299999237060547,87.7322769165039,2588.260009765625,24.8700008392334,20.2796630859375,65.87999725341797
