region,title,location,price,url,fetched_at
Hồ Chí Minh,"Bán Nhà Phố có Thang Máy Thiết Kế Đẹp Đường Lê Đức Thọ, Quận Gò Vấp","Quận Gò Vấp, TPHCM",13 tỷ 900 triệu,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,Cần Bán hoặc Cho Thuê nhà mặt tiền trung tâm quận 3,"Quận 3, TPHCM",27 tỷ,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán shophouse Starhill căn góc – 2 lầu, đối diện trường Đinh Thiện Lý","Quận 7, TPHCM",27 tỷ 500 triệu,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán nhà MT đường Số 17B, P. Bình Trị Đông B, 5 x 20m, 3.5 tấm, giá 12","Quận Bình Tân, TPHCM",12 tỷ,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán nhà MT đường Số 6A, Bình Trị Đông B, 6 x 21m, cấp 4, giá 18 tỷ. kh","Quận Bình Tân, TPHCM",18 tỷ,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán nhà MT đường Số 6D, P. Bình Trị Đông B, Q. Bình Tân, 5 x 18, 3.5 t","Quận Bình Tân, TPHCM",8 tỷ 500 triệu,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán nhà MT đường Số 1A, P. Bình Trị Đông B, 4.2 x 20m, 2.5 tấm, giá 8.","Quận Bình Tân, TPHCM",8 tỷ 800 triệu,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán nhà MT đường Số 3, P. Bình Trị Đông B, 4 x 20m, 3.5 tấm, giá 9.4 t","Quận Bình Tân, TPHCM",9 tỷ 400 triệu,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán nhà Góc MT đường Chợ Lớn, P.11, Q.6, nhà 4.5 tấm, 5 x 18m, giá 19.","Quận 6, TPHCM",19 tỷ 900 triệu,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,Bán MTKD đường Tên Lửa ngay sát Aeon Bình Tân giá 20 tỷ TL nhà mới .,"Quận Bình Tân, TPHCM",20 tỷ,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán nhà Góc 2 MT đường Tạ Mỹ Duật,khu tên lửa, 4 x 20m, 3.5 tấm, giá 1","Quận Bình Tân, TPHCM",10 tỷ 700 triệu,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán nhà MT đường Số 38, P. Tân Tạo, 4.5 x 15m, 2.5 tấm, giá 8 tỷ","Quận Bình Tân, TPHCM",8 tỷ,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,Bán cặp nhà đường số 7B ngay Công An  p. An Lạc A giá 27 tỷ TL,"Quận Bình Tân, TPHCM",27 tỷ,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,"Bán gấp nhà xưởng 280m2, mặt tiền đường số Nguyễn Thị Định, Q.2, 30 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",30 tỷ,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Hồ Chí Minh,Bán biệt thự khu tên lửa đường số 18 cần bán gấp 18.5 tỷ,"Quận Bình Tân, TPHCM",18 tỷ 500 triệu,https://mogi.vn/ho-chi-minh/mua-nha,2026-02-02 15:50:42
Bình Dương,Nhà Phố Thương Mại Mặt Tiền Đường Lê Lai Chỉ 2 tỷ 500tr Nhận Nhà,"Thành phố thủ Dầu Một, Bình Dương",8 tỷ,https://mogi.vn/binh-duong/mua-nha,2026-02-02 15:50:44
Bình Dương,Bán 2 Dãy Trọ Gần Cổng KCN Mỹ Phước 3 Khu Công Nhân Đông Đúc,"Thị Xã Bến Cát, Bình Dương",4 tỷ 550 triệu,https://mogi.vn/binh-duong/mua-nha,2026-02-02 15:50:44
